dealer_number,part_number,first_sale_date,first_sale_date_amount,second_sale_date,second_sale_date_amount,third_sale_date,third_sale_date_amount,fourth_sale_date,fourth_sale_date_amount,fifth_sale_date,fifth_sale_date_amount
111111,23376623,1/25/16,1,1/19/16,1,,0,,0,,0
111111,13590041,1/25/16,1,,,,,,,,
111111,13598090,1/25/16,1,1/22/16,1,11/16/15,1,,0,,0
111111,14079472,1/25/16,2,,,,,,,,
111111,89060407,1/25/16,1,,,,,,,,
111111,19351570,10/28/16,1,6/17/16,1,4/18/16,1,2/11/16,1,2/9/16,1
111111,20864505,1/25/16,1,,,,,,,,
111111,19172624,12/20/12,1,6/13/12,1,3/29/12,1,,,,
111111,88938614,3/29/12,1,,,,,,,,
111111,19256621,1/13/14,1,4/25/13,1,3/29/12,1,,0,,0
111111,15198871,3/6/12,1,,,,,,,,
111111,12646512,9/30/14,2,9/29/14,1,9/26/14,1,9/23/14,1,9/22/14,1
111111,13259230,3/6/12,1,,,,,,,,
111111,15015198,3/6/12,1,,,,,,,,
111111,15912500,3/6/12,1,,,,,,,,
111111,20828695,8/30/16,1,1/22/16,1,5/5/15,1,9/20/14,1,6/26/14,1
111111,20899967,3/6/12,1,,,,,,,,
111111,22737639,9/20/16,1,6/21/16,1,3/1/16,1,8/14/15,1,4/30/15,1
111111,22792258,12/7/15,1,7/1/15,1,10/16/14,1,8/27/14,1,2/4/13,1
111111,25883246,11/26/13,1,8/20/13,1,3/6/12,1,,,,
111111,88861803,4/9/16,3,4/5/16,1,1/5/16,2,12/16/15,1,12/15/15,1
111111,89047797,3/6/12,1,,,,,,,,
111111,95464668,12/6/13,1,3/6/12,1,,,,,,
111111,22914085,11/11/14,1,7/10/12,2,5/23/12,1,5/14/12,2,4/20/12,1
111111,10405359,4/3/12,1,,,,,,,,
111111,19181670,4/9/12,1,,,,,,,,
111111,19168436,4/9/12,1,,,,,,,,
111111,19177157,4/9/12,1,,,,,,,,
111111,19177164,4/9/12,1,,,,,,,,
111111,26075991,4/9/12,1,,,,,,,,
111111,12564506,3/30/16,1,2/24/16,1,4/9/12,1,,,,
111111,95019523,4/9/12,1,,,,,,,,
111111,95227395,3/27/14,1,3/17/14,1,4/9/12,1,,,,
111111,95229055,7/12/16,1,3/27/14,1,8/2/13,1,4/9/12,1,,
111111,95473897,7/13/15,1,4/9/12,1,,,,,,
111111,96694740,4/16/14,1,4/9/12,1,,,,,,
111111,15574846,4/9/12,2,,,,,,,,
111111,15656313,4/9/12,1,,,,,,,,
111111,12577163,4/20/12,1,,,,,,,,
111111,12635447,1/14/16,1,10/12/15,1,9/16/15,1,4/9/15,1,2/10/15,1
111111,12637040,4/20/12,1,,,,,,,,
111111,21000867,4/20/12,1,,,,,,,,
111111,15907878,4/20/12,1,,,,,,,,
111111,19253320,4/20/12,1,,,,,,,,
111111,12584737,4/20/12,1,,,,,,,,
111111,15280813,12/31/13,1,4/20/12,1,,,,,,
111111,25800774,4/20/12,1,,,,,,,,
111111,12610141,5/1/12,1,,,,,,,,
111111,11570498,11/8/16,8,5/9/14,8,5/1/12,9,,,,
111111,12499110,5/1/12,1,,,,,,,,
111111,19171815,10/25/16,1,9/29/16,1,8/8/16,1,6/21/16,1,5/23/16,1
111111,20810269,5/1/12,2,,,,,,,,
111111,20824263,5/1/12,1,,,,,,,,
111111,24230288,8/18/16,1,1/27/15,1,5/1/12,1,,,,
111111,24230289,8/18/16,1,5/1/12,1,,,,,,
111111,96959997,10/9/15,1,7/29/15,1,5/1/12,1,,,,
111111,12567650,4/5/12,1,,,,,,,,
111111,88943430,4/13/12,1,,,,,,,,
111111,19253942,10/9/12,4,4/13/12,4,,,,,,
111111,88864346,10/26/16,2,10/24/16,1,10/17/16,1,10/6/16,1,10/4/16,2
111111,12581771,10/24/13,1,8/26/13,1,8/22/13,1,3/9/13,1,4/13/12,1
111111,19178111,4/11/12,1,,,,,,,,
111111,15202912,4/11/12,1,,,,,,,,
111111,19170497,7/16/12,1,4/11/12,1,,,,,,
111111,19170498,4/11/12,1,,,,,,,,
111111,20792749,10/16/15,1,4/30/15,1,3/1/13,1,1/8/13,1,12/10/12,1
111111,13395695,4/20/15,1,6/27/14,1,7/16/13,1,5/25/12,1,8/17/11,1
111111,15778440,4/19/12,1,,,,,,,,
111111,19153639,9/13/13,2,4/19/12,2,,,,,,
111111,20930995,9/13/13,2,4/19/12,2,,,,,,
111111,22743757,4/19/12,1,,,,,,,,
111111,22833118,4/19/12,1,,,,,,,,
111111,19244297,10/12/15,1,4/19/12,1,,,,,,
111111,25724791,4/19/12,2,,,,,,,,
111111,25776037,,,,,,,,,,
111111,25783915,4/23/12,1,4/19/12,1,,,,,,
111111,9067271,2/14/15,1,,,,,,,,
